14,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,5
7,7,7,10,7,0,0,0,4,0,0,0,0,5,0,0,0,7,11,7,7,7
0,0,0,0,0,0,0,7,7,7,0,0,7,7,7,0,0,0,0,0,0,0
5,0,4,0,0,0,0,5,0,6,0,0,5,0,0,0,0,0,0,6,0,0
7,10,7,10,7,9,7,7,7,7,12,12,7,7,11,11,7,7,7,7,0,0
0,4,5,0,0,0,0,0,0,4,0,0,0,5,0,0,0,6,0,0,0,0
0,7,7,9,9,7,10,10,7,7,11,11,7,7,12,12,7,7,9,9,7,7
4,5,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,5
7,7,9,7,9,7,9,9,7,0,0,0,0,7,12,7,9,7,10,7,7,7
15,6,0,0,0,4,0,0,0,0,2,0,0,0,0,0,6,0,0,0,4,13
7,7,10,7,12,7,7,7,7,9,7,7,9,7,7,7,7,10,7,11,7,7
